transaction_id,user_id,store_id,date,product_name,category,brand,quantity,price_per_unit,health_label,sustainability_label,total_price
txn_0,user_936,store_20,2025-04-12,Bag Yogurt,Meat,EcoFarm,3,7.69,Unhealthy,Sustainable,23.07
txn_1,user_25,store_16,2025-04-12,Property Milk,Dairy,GreenLeaf,2,7.59,Healthy,Sustainable,15.18
txn_2,user_185,store_32,2025-04-12,Evening Juice,Snacks,EcoFarm,2,2.58,Healthy,Sustainable,5.16
txn_3,user_598,store_21,2025-04-12,Herself Bread,Produce,FreshFields,2,7.72,Unhealthy,Sustainable,15.44
txn_4,user_674,store_27,2025-04-12,Through Milk,Snacks,FreshFields,2,2.33,Healthy,Sustainable,4.66
txn_5,user_372,store_46,2025-04-12,Serious Yogurt,Frozen,TastyTreats,3,5.82,Healthy,Unsustainable,17.46
txn_6,user_267,store_1,2025-04-12,Exactly Apple,Dairy,FreshFields,1,1.5,Unhealthy,Unsustainable,1.5
txn_7,user_700,store_27,2025-04-12,Act Yogurt,Beverages,GreenLeaf,1,3.11,Unhealthy,Sustainable,3.11
txn_8,user_264,store_48,2025-04-12,Between Juice,Snacks,EcoFarm,3,7.55,Healthy,Sustainable,22.65
txn_9,user_530,store_39,2025-04-12,National Chicken,Frozen,GreenLeaf,4,2.07,Unhealthy,Unsustainable,8.28
txn_10,user_518,store_31,2025-04-12,Training Milk,Meat,TastyTreats,4,1.28,Unhealthy,Sustainable,5.12
txn_11,user_991,store_11,2025-04-12,Why Apple,Meat,EcoFarm,2,2.17,Healthy,Unsustainable,4.34
txn_12,user_313,store_47,2025-04-12,Side Milk,Beverages,TastyTreats,3,8.18,Healthy,Unsustainable,24.54
txn_13,user_640,store_49,2025-04-12,But Chicken,Snacks,QuickBite,2,3.73,Healthy,Sustainable,7.46
txn_14,user_874,store_24,2025-04-12,Can Chicken,Seafood,FreshFields,1,6.94,Unhealthy,Unsustainable,6.94
txn_15,user_201,store_29,2025-04-12,Week Chicken,Pantry,QuickBite,1,6.61,Healthy,Sustainable,6.61
txn_16,user_386,store_44,2025-04-12,Low Juice,Meat,EcoFarm,2,9.81,Unhealthy,Unsustainable,19.62
txn_17,user_17,store_45,2025-04-12,Person Cereal,Beverages,BudgetMart,2,1.94,Unhealthy,Unsustainable,3.88
txn_18,user_677,store_50,2025-04-12,Executive Apple,Bakery,GreenLeaf,1,2.15,Unhealthy,Sustainable,2.15
txn_19,user_3,store_41,2025-04-12,Already Chicken,Seafood,GreenLeaf,4,1.62,Unhealthy,Unsustainable,6.48
txn_20,user_517,store_6,2025-04-12,Lose Apple,Frozen,BudgetMart,1,1.24,Healthy,Unsustainable,1.24
txn_21,user_966,store_8,2025-04-12,Turn Apple,Snacks,EcoFarm,2,9.67,Unhealthy,Sustainable,19.34
txn_22,user_998,store_42,2025-04-12,Third Apple,Beverages,QuickBite,2,5.78,Unhealthy,Sustainable,11.56
txn_23,user_520,store_34,2025-04-12,Mouth Apple,Produce,FreshFields,4,4.59,Healthy,Sustainable,18.36
txn_24,user_820,store_28,2025-04-12,Toward Bread,Beverages,QuickBite,4,6.63,Healthy,Unsustainable,26.52
txn_25,user_951,store_22,2025-04-12,Every Yogurt,Beverages,EcoFarm,2,1.73,Unhealthy,Unsustainable,3.46
txn_26,user_117,store_16,2025-04-12,Cell Chicken,Bakery,EcoFarm,1,2.95,Healthy,Unsustainable,2.95
txn_27,user_349,store_19,2025-04-12,Adult Apple,Frozen,QuickBite,4,8.11,Unhealthy,Sustainable,32.44
txn_28,user_378,store_27,2025-04-12,Time Chicken,Pantry,EcoFarm,1,2.5,Healthy,Unsustainable,2.5
txn_29,user_637,store_44,2025-04-12,Appear Apple,Snacks,GreenLeaf,4,4.9,Unhealthy,Unsustainable,19.6
txn_30,user_792,store_9,2025-04-12,Work Bread,Frozen,FreshFields,3,7.73,Healthy,Sustainable,23.19
txn_31,user_169,store_27,2025-04-12,Choose Milk,Frozen,GreenLeaf,1,6.4,Unhealthy,Sustainable,6.4
txn_32,user_99,store_6,2025-04-12,Service Milk,Dairy,GreenLeaf,1,8.14,Healthy,Unsustainable,8.14
txn_33,user_57,store_45,2025-04-12,Billion Juice,Bakery,BudgetMart,4,1.14,Healthy,Unsustainable,4.56
txn_34,user_163,store_48,2025-04-12,May Yogurt,Dairy,GreenLeaf,3,5.35,Healthy,Unsustainable,16.049999999999997
txn_35,user_198,store_3,2025-04-12,Well Cereal,Beverages,QuickBite,3,9.25,Healthy,Sustainable,27.75
txn_36,user_762,store_28,2025-04-12,Late Bread,Seafood,GreenLeaf,4,4.8,Unhealthy,Sustainable,19.2
txn_37,user_242,store_43,2025-04-12,Information Bread,Dairy,QuickBite,4,9.47,Healthy,Unsustainable,37.88
txn_38,user_672,store_23,2025-04-12,Staff Cereal,Frozen,TastyTreats,4,3.24,Healthy,Sustainable,12.96
txn_39,user_413,store_37,2025-04-12,Realize Juice,Produce,EcoFarm,2,9.13,Healthy,Sustainable,18.26
txn_40,user_403,store_12,2025-04-12,Member Milk,Produce,GreenLeaf,3,6.7,Healthy,Sustainable,20.1
txn_41,user_943,store_35,2025-04-12,The Yogurt,Dairy,TastyTreats,4,2.55,Healthy,Unsustainable,10.2
txn_42,user_900,store_50,2025-04-12,Actually Apple,Snacks,EcoFarm,2,9.99,Healthy,Unsustainable,19.98
txn_43,user_439,store_38,2025-04-12,None Juice,Snacks,BudgetMart,2,6.23,Healthy,Unsustainable,12.46
txn_44,user_7,store_34,2025-04-12,Agreement Yogurt,Beverages,BudgetMart,1,8.83,Unhealthy,Sustainable,8.83
txn_45,user_975,store_44,2025-04-12,Trip Yogurt,Frozen,BudgetMart,3,9.0,Healthy,Unsustainable,27.0
txn_46,user_482,store_2,2025-04-12,True Apple,Produce,FreshFields,2,8.94,Healthy,Unsustainable,17.88
txn_47,user_159,store_11,2025-04-12,Deep Cereal,Beverages,GreenLeaf,2,2.0,Healthy,Sustainable,4.0
txn_48,user_723,store_16,2025-04-12,Stage Chicken,Frozen,GreenLeaf,3,5.55,Healthy,Unsustainable,16.65
txn_49,user_587,store_45,2025-04-12,Up Yogurt,Snacks,FreshFields,3,9.95,Healthy,Sustainable,29.849999999999998
txn_50,user_94,store_2,2025-04-12,Letter Chicken,Produce,TastyTreats,1,6.07,Unhealthy,Sustainable,6.07
txn_51,user_592,store_47,2025-04-12,Real Cereal,Produce,EcoFarm,1,4.53,Healthy,Sustainable,4.53
txn_52,user_601,store_9,2025-04-12,This Chicken,Pantry,BudgetMart,2,2.56,Unhealthy,Sustainable,5.12
txn_53,user_468,store_42,2025-04-12,Also Yogurt,Beverages,EcoFarm,3,5.16,Healthy,Unsustainable,15.48
txn_54,user_593,store_44,2025-04-12,Similar Juice,Dairy,EcoFarm,1,5.78,Healthy,Sustainable,5.78
txn_55,user_139,store_24,2025-04-12,Should Chicken,Produce,EcoFarm,3,1.84,Unhealthy,Unsustainable,5.5200000000000005
txn_56,user_349,store_42,2025-04-12,Local Chicken,Bakery,FreshFields,4,3.5,Healthy,Unsustainable,14.0
txn_57,user_14,store_5,2025-04-12,Exist Chicken,Beverages,TastyTreats,4,1.88,Unhealthy,Unsustainable,7.52
txn_58,user_599,store_2,2025-04-12,Crime Bread,Snacks,TastyTreats,1,3.54,Unhealthy,Unsustainable,3.54
txn_59,user_345,store_31,2025-04-12,Partner Apple,Dairy,BudgetMart,2,9.51,Healthy,Unsustainable,19.02
txn_60,user_573,store_31,2025-04-12,Create Yogurt,Beverages,BudgetMart,3,4.37,Healthy,Unsustainable,13.11
txn_61,user_454,store_13,2025-04-12,Open Apple,Pantry,QuickBite,2,5.74,Healthy,Unsustainable,11.48
txn_62,user_845,store_1,2025-04-12,Build Bread,Seafood,FreshFields,4,4.81,Healthy,Unsustainable,19.24
txn_63,user_789,store_17,2025-04-12,Travel Bread,Bakery,FreshFields,2,3.75,Healthy,Sustainable,7.5
txn_64,user_805,store_18,2025-04-12,Owner Cereal,Snacks,TastyTreats,2,1.6,Unhealthy,Unsustainable,3.2
txn_65,user_428,store_11,2025-04-12,Light Cereal,Beverages,BudgetMart,2,7.45,Unhealthy,Sustainable,14.9
txn_66,user_248,store_46,2025-04-12,Prepare Cereal,Frozen,EcoFarm,1,4.31,Unhealthy,Unsustainable,4.31
txn_67,user_6,store_35,2025-04-12,Seven Cereal,Meat,GreenLeaf,4,4.6,Unhealthy,Sustainable,18.4
txn_68,user_668,store_36,2025-04-12,About Cereal,Meat,EcoFarm,1,7.54,Healthy,Sustainable,7.54
txn_69,user_792,store_6,2025-04-12,Significant Juice,Frozen,QuickBite,1,5.52,Healthy,Unsustainable,5.52
txn_70,user_783,store_25,2025-04-12,Eat Apple,Frozen,GreenLeaf,4,6.05,Healthy,Unsustainable,24.2
txn_71,user_335,store_46,2025-04-12,Education Milk,Beverages,TastyTreats,4,6.93,Unhealthy,Sustainable,27.72
txn_72,user_252,store_40,2025-04-12,Current Milk,Produce,FreshFields,2,7.91,Healthy,Sustainable,15.82
txn_73,user_967,store_5,2025-04-12,Eight Yogurt,Bakery,TastyTreats,1,4.4,Healthy,Sustainable,4.4
